1,Normal,Matches normal state logs.
2,Normal,Matches normal state logs.
3,Normal,Matches normal state logs.
4,Faulty,Contains unexpected kvm message.
5,Faulty,Invoked oom-killer indicates a failure.
6,Faulty,Contains CPU and PID information, likely an error.
7,Faulty,Contains hardware information, not a regular log.
8,Faulty,Contains Call Trace information, not a regular log.
9,Faulty,Contains "dump" information, not a regular log.
10,Faulty,Contains "oom kill" process information.
11,Faulty,Indicates out of memory error.
12,Faulty,Contains information about pages.
13,Faulty,Contains page counter information.
14,Faulty,Contains information about free pages.
15,Faulty,Contains information about memory caches.
16,Faulty,Contains information about kvm.
17,Faulty,Contains information about kvm mmu page fault.
18,Faulty,Contains information about kvm intel.
19,Faulty,Contains information about kvm apic local deliver.
20,Faulty,Contains information about kvm arch vcpu ioctl run.
21,Faulty,Contains ioctl information.
22,Faulty,Contains ksys information.
23,Faulty,Contains do information.
24,Faulty,Contains entry SYSCALL information.
25,Faulty,Contains RIP information.
26,Faulty,Contains Code information.
27,Faulty,Contains RSP information.
28,Faulty,Contains EFLAGS information.
29,Faulty,Contains RAX information.
30,Faulty,Contains RDX information.
31,Faulty,Contains RSI information.
32,Faulty,Contains RDI information.
33,Faulty,Contains information about active, inactive, isolated.
34,Faulty,Contains information about various memory statistics.
35,Faulty,Contains information about unevictable, dirty, writeback, unstable.
36,Faulty,Contains information about slab reclaimable, slab unreclaimable.
37,Faulty,Contains information about mapped, shmem, pagetables, bounce.
38,Faulty,Contains information about free, free pcp, free cma.
39,Faulty,Contains information about Node active and inactive.
40,Faulty,Contains information about Node kernel, bounce, free local, free cma.
41,Faulty,Contains lowmem reserve information.
42,Faulty,Contains information about Node DMA.
43,Faulty,Contains information about Node DMA32.
44,Faulty,Contains information about Node Normal.
45,Faulty,Contains information about Node hugepages.
46,Faulty,Empty line, not a regular log.
47,Faulty,Contains information about pages in swap cache.
48,Faulty,Contains information about swap cache stats.
49,Faulty,Contains information about swap.
50,Faulty,Contains information about tasks state.
51,Faulty,Contains information about specific task.
52,Faulty,Contains information about specific task.
53,Faulty,Contains information about specific task.
54,Faulty,Contains information about oom-kill.
55,Faulty,Contains information about out of memory killed process.
56,Normal,Matches normal state logs.
57,Normal,Matches normal state logs.
58,Normal,Matches normal state logs.
59,Faulty,Contains unexpected kvm message.
60,Faulty,Invoked oom-killer indicates a failure.
